severity	app	product_ids	anomaly_type	evidence	confidence
BLOCKER	ABCLearning	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	ABCLearning	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	ABCLearning	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	ABCLearning	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	ABCLearning	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	AnimalQuiz	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	AnimalQuiz	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	AnimalQuiz	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	AnimalQuiz	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	AnimalQuiz	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	AnimalSounds	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	AnimalSounds	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	AnimalSounds	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	AnimalSounds	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	AnimalSounds	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	AspectRatio	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	AspectRatio	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	AspectRatio	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	AspectRatio	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	AspectRatio	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	BMICalculator	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	BMICalculator	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BMICalculator	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BMICalculator	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BMICalculator	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	BalloonPop	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	BalloonPop	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	BasicMathKids	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	BasicMathKids	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BasicMathKids	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BasicMathKids	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BasicMathKids	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	BibleQuiz	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	BibleQuiz	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BibleQuiz	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BibleQuiz	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BibleQuiz	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	Binairo	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	Binairo	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	Binairo	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	Binairo	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	Binairo	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
