app	product_id	type	price_usd	reward_qty	reward_unit	duration	notes
ABCLearning	remove_ads	non_consumable	2.99		ads_off	forever	
ABCLearning	coins_small	consumable	0.99	100	coins		
ABCLearning	coins_large	consumable	2.99	500	coins		
ABCLearning	five_lives	consumable	0.99	5	lives		
ABCLearning	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
ABCLearning	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
ABCLearning	hint_pack	consumable	1.99	10	hints		
ABCLearning	starter_pack	consumable	0.99	bundle	coins+lives+hints		
ABCLearning	season_pass_monthly	subscription	1.99		subscription	P1M	
AgeCalculator	remove_ads	non_consumable	2.99		ads_off	forever	
AnimalQuiz	remove_ads	non_consumable	2.99		ads_off	forever	
AnimalQuiz	coins_small	consumable	0.99	100	coins		
AnimalQuiz	coins_large	consumable	2.99	500	coins		
AnimalQuiz	five_lives	consumable	0.99	5	lives		
AnimalQuiz	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
AnimalQuiz	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
AnimalQuiz	hint_pack	consumable	1.99	10	hints		
AnimalQuiz	starter_pack	consumable	0.99	bundle	coins+lives+hints		
AnimalQuiz	season_pass_monthly	subscription	1.99		subscription	P1M	
AnimalSounds	remove_ads	non_consumable	2.99		ads_off	forever	
AnimalSounds	coins_small	consumable	0.99	100	coins		
AnimalSounds	coins_large	consumable	2.99	500	coins		
AnimalSounds	five_lives	consumable	0.99	5	lives		
AnimalSounds	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
AnimalSounds	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
AnimalSounds	hint_pack	consumable	1.99	10	hints		
AnimalSounds	starter_pack	consumable	0.99	bundle	coins+lives+hints		
AnimalSounds	season_pass_monthly	subscription	1.99		subscription	P1M	
AspectRatio	remove_ads	non_consumable	2.99		ads_off	forever	
AspectRatio	coins_small	consumable	0.99	100	coins		
AspectRatio	coins_large	consumable	2.99	500	coins		
AspectRatio	five_lives	consumable	0.99	5	lives		
AspectRatio	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
